Name,Type,Adr [Hex],Size [B],Region
CCU42_0_IRQHandler,FUNC,0x0800AC11,52.0,FLASH 1 (cached)
SPI_Master_slave_select,FUNC,0x0800A029,52.0,FLASH 1 (cached)
prvTCPCreateWindow,FUNC,0x08006DDD,50.0,FLASH 1 (cached)
XMC_ETH_MAC_EnableEvent,FUNC,0x0800166D,50.0,FLASH 1 (cached)
FreeRTOS_closesocket,FUNC,0x08005CA9,50.0,FLASH 1 (cached)
_ZN8Logger__lsEPFRS_S0_E,FUNC,0x0800B41D,50.0,FLASH 1 (cached)
vListInsert,FUNC,0x080021ED,50.0,FLASH 1 (cached)
FreeRTOS_SignalSocket,FUNC,0x08006BFD,50.0,FLASH 1 (cached)
XMC_CCU4_SLICE_CompareIni,FUNC,0x08001119,50.0,FLASH 1 (cached)
ethernet_mac_handle,OBJECT,0x20009F10,48.0,DSRAM 1 (system)
CAN0_4_IRQHandler,FUNC,0x0800B0F1,48.0,FLASH 1 (cached)
XMC_ETH_MAC_Init,FUNC,0x080015C5,48.0,FLASH 1 (cached)
_ZN8LedTask_6xvinitEv,FUNC,0x0800B305,48.0,FLASH 1 (cached)
CAN0_7_IRQHandler,FUNC,0x0800B191,48.0,FLASH 1 (cached)
CAN0_2_IRQHandler,FUNC,0x0800B081,48.0,FLASH 1 (cached)
XMC_USIC_CH_RXFIFO_Config,FUNC,0x08001B91,48.0,FLASH 1 (cached)
CAN0_5_IRQHandler,FUNC,0x0800B121,48.0,FLASH 1 (cached)
XMC_ETH_PHY_Reset,FUNC,0x08001749,46.0,FLASH 1 (cached)
prvTCPSendRepeated,FUNC,0x080075A1,44.0,FLASH 1 (cached)
_GLOBAL__sub_I_ext_flash,FUNC,0x0800B2C5,44.0,FLASH 1 (cached)
SysTick_Handler,FUNC,0x08004001,44.0,FLASH 1 (cached)
_ZN8Logger__lsEPKc,FUNC,0x0800B461,44.0,FLASH 1 (cached)
XMC_ETH_MAC_ReturnRxDescr,FUNC,0x080016E5,44.0,FLASH 1 (cached)
XMC_USIC_CH_TXFIFO_Config,FUNC,0x08001B65,44.0,FLASH 1 (cached)
vQueueAddToRegistry,FUNC,0x08002BC9,44.0,FLASH 1 (cached)
XMC_UART_CH_SetBaudrate,FUNC,0x080019D1,44.0,FLASH 1 (cached)
pxPortInitialiseStack,FUNC,0x08003EC1,44.0,FLASH 1 (cached)
vReturnEthernetFrame,FUNC,0x08005271,44.0,FLASH 1 (cached)
XMC_ETH_MAC_ClearEventSta,FUNC,0x080016A1,42.0,FLASH 1 (cached)
FreeRTOS_tx_space,FUNC,0x08006901,42.0,FLASH 1 (cached)
XMC_ETH_MAC_GetRxFrameSiz,FUNC,0x08001505,42.0,FLASH 1 (cached)
CSWTCH.36,OBJECT,0x0800C27C,40.0,FLASH 1 (cached)
CSWTCH.37,OBJECT,0x0800C2A4,40.0,FLASH 1 (cached)
CSWTCH.42,OBJECT,0x0800C2CC,40.0,FLASH 1 (cached)
CSWTCH.43,OBJECT,0x0800C2F4,40.0,FLASH 1 (cached)
prvCopyDataFromQueue,FUNC,0x080022BD,40.0,FLASH 1 (cached)
_ZL16sg_dac_gpio_pins,OBJECT,0x0800C5EC,40.0,FLASH 1 (cached)
_ZL27sg_external_flash_gp,OBJECT,0x0800C614,40.0,FLASH 1 (cached)
pxUDPSocketLookup,FUNC,0x08005FFD,40.0,FLASH 1 (cached)
vPortExitCritical,FUNC,0x08003F65,40.0,FLASH 1 (cached)
CAN1_Node_Configuration,OBJECT,0x2000A400,40.0,DSRAM 1 (system)
uxListRemove,FUNC,0x08002221,40.0,FLASH 1 (cached)
memcmp,FUNC,0x0800A539,40.0,FLASH 1 (cached)
CAN2_Node_Configuration,OBJECT,0x2000A3C8,40.0,DSRAM 1 (system)
xDefaultPartARPPacketHead,OBJECT,0x0800C344,38.0,FLASH 1 (cached)
XMC_ETH_PHY_GetLinkSpeed,FUNC,0x08001825,38.0,FLASH 1 (cached)
XMC_SPI_CH_SetBaudrate,FUNC,0x080018DD,38.0,FLASH 1 (cached)
SPI_Master_set_data_size,FUNC,0x0800A09D,38.0,FLASH 1 (cached)
uxQueueMessagesWaiting,FUNC,0x08002B55,38.0,FLASH 1 (cached)
CCU8_module_init,FUNC,0x0800A985,38.0,FLASH 1 (cached)
xDHCPData,OBJECT,0x2000921C,36.0,DSRAM 1 (system)
FreeRTOS_OutputARPRequest,FUNC,0x08004719,36.0,FLASH 1 (cached)
get_registers_from_stack,FUNC,0x0800B775,36.0,FLASH 1 (cached)
XMC_ETH_PHY_GetLinkDuplex,FUNC,0x0800184D,36.0,FLASH 1 (cached)
SVC_Handler,FUNC,0x08003EF1,36.0,FLASH 1 (cached)
SPI2_Channel0_API,OBJECT,0x2000A0EC,36.0,DSRAM 1 (system)
VADC_global_init,FUNC,0x08009489,36.0,FLASH 1 (cached)
xQueueCreateMutex,FUNC,0x08002621,36.0,FLASH 1 (cached)
prvPortStartFirstTask,FUNC,0x08003E85,34.0,FLASH 1 (cached)
XMC_UART_CH_Transmit,FUNC,0x080019FD,34.0,FLASH 1 (cached)
FreeRTOS_GetUDPPayloadBuf,FUNC,0x08004DE9,34.0,FLASH 1 (cached)
XMC_USIC_CH_RXFIFO_SetSiz,FUNC,0x08001BC1,34.0,FLASH 1 (cached)
XMC_CCU4_SLICE_CaptureIni,FUNC,0x0800114D,34.0,FLASH 1 (cached)
VADC_Group0_Scan_Configur,OBJECT,0x2000A00C,32.0,DSRAM 1 (system)
CCU80_Channel1_Configurat,OBJECT,0x2000A154,32.0,DSRAM 1 (system)
CCU80_Channel2_Configurat,OBJECT,0x2000A1CC,32.0,DSRAM 1 (system)
CCU80_Channel0_Configurat,OBJECT,0x2000A1EC,32.0,DSRAM 1 (system)
